stats: component=ResourceConsumption, ts=59183.710, cpu=0.0, cpu_max=29.7, mem=40560443392, recv_bandwidth=9649, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59183.812, cpu=53.8, cpu_max=36.4, mem=41133617152, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59183.919, cpu=77.5, cpu_max=45.5, mem=41478868992, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.021, cpu=99.2, cpu_max=50.0, mem=41835130880, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.127, cpu=12.4, cpu_max=63.6, mem=41835130880, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.232, cpu=63.9, cpu_max=77.8, mem=41983074304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.339, cpu=100.2, cpu_max=60.0, mem=42118283264, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.446, cpu=107.6, cpu_max=80.0, mem=42124525568, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.551, cpu=112.4, cpu_max=83.3, mem=42165374976, recv_bandwidth=19296, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.658, cpu=97.7, cpu_max=100.0, mem=42349731840, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.762, cpu=92.1, cpu_max=54.5, mem=42368385024, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.867, cpu=73.2, cpu_max=45.5, mem=42897887232, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59184.973, cpu=192.0, cpu_max=80.0, mem=42972844032, recv_bandwidth=48211, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.080, cpu=198.9, cpu_max=60.0, mem=43153637376, recv_bandwidth=9590, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.187, cpu=156.1, cpu_max=90.9, mem=43277275136, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.293, cpu=135.5, cpu_max=50.0, mem=43343675392, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.396, cpu=134.9, cpu_max=80.0, mem=43354431488, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.501, cpu=167.3, cpu_max=81.8, mem=43362820096, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.604, cpu=163.3, cpu_max=77.8, mem=43371208704, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59185.709, cpu=164.8, cpu_max=72.7, mem=43371208704, recv_bandwidth=29041, sent_bandwidth=0
