stats: component=ResourceConsumption, ts=59188.744, cpu=14.3, cpu_max=25.0, mem=1056186368, recv_bandwidth=17178, sent_bandwidth=4796
stats: component=ResourceConsumption, ts=59188.855, cpu=57.3, cpu_max=28.6, mem=1054937088, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59188.967, cpu=37.5, cpu_max=33.3, mem=1054937088, recv_bandwidth=67525, sent_bandwidth=23093
stats: component=ResourceConsumption, ts=59189.078, cpu=28.4, cpu_max=14.3, mem=1054572544, recv_bandwidth=0, sent_bandwidth=825
stats: component=ResourceConsumption, ts=59189.189, cpu=0.0, cpu_max=14.3, mem=1055072256, recv_bandwidth=54995, sent_bandwidth=26978
stats: component=ResourceConsumption, ts=59189.301, cpu=14.3, cpu_max=44.4, mem=1055072256, recv_bandwidth=7368, sent_bandwidth=13143
stats: component=ResourceConsumption, ts=59189.414, cpu=28.4, cpu_max=25.0, mem=1055789056, recv_bandwidth=2134, sent_bandwidth=969
stats: component=ResourceConsumption, ts=59189.527, cpu=14.3, cpu_max=14.3, mem=1055789056, recv_bandwidth=0, sent_bandwidth=486
stats: component=ResourceConsumption, ts=59189.638, cpu=150.0, cpu_max=33.3, mem=1055789056, recv_bandwidth=975, sent_bandwidth=957
stats: component=ResourceConsumption, ts=59189.750, cpu=14.2, cpu_max=14.3, mem=1056378880, recv_bandwidth=0, sent_bandwidth=489
stats: component=ResourceConsumption, ts=59189.861, cpu=57.3, cpu_max=25.0, mem=1056378880, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59189.973, cpu=28.7, cpu_max=14.3, mem=1056215040, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.084, cpu=42.6, cpu_max=28.6, mem=1056219136, recv_bandwidth=0, sent_bandwidth=828
stats: component=ResourceConsumption, ts=59190.195, cpu=57.3, cpu_max=37.5, mem=1056219136, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.306, cpu=28.7, cpu_max=14.3, mem=1056219136, recv_bandwidth=1652, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.417, cpu=42.6, cpu_max=28.6, mem=1056194560, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.529, cpu=87.5, cpu_max=37.5, mem=1059778560, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.640, cpu=14.3, cpu_max=37.5, mem=1009549312, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.751, cpu=28.4, cpu_max=14.3, mem=1008869376, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.862, cpu=28.7, cpu_max=28.6, mem=923140096, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59190.973, cpu=28.7, cpu_max=14.3, mem=917577728, recv_bandwidth=32079, sent_bandwidth=13240
stats: component=ResourceConsumption, ts=59191.085, cpu=28.4, cpu_max=28.6, mem=917811200, recv_bandwidth=0, sent_bandwidth=833
stats: component=ResourceConsumption, ts=59191.196, cpu=14.3, cpu_max=25.0, mem=917811200, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59191.307, cpu=0.0, cpu_max=14.3, mem=916914176, recv_bandwidth=1653, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59191.418, cpu=99.4, cpu_max=28.6, mem=916914176, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59191.530, cpu=87.5, cpu_max=25.0, mem=917217280, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59191.642, cpu=14.3, cpu_max=28.6, mem=917217280, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59191.753, cpu=14.2, cpu_max=25.0, mem=916238336, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59191.864, cpu=14.3, cpu_max=25.0, mem=916201472, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59191.975, cpu=215.0, cpu_max=42.9, mem=917147648, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59192.086, cpu=0.0, cpu_max=14.3, mem=917147648, recv_bandwidth=0, sent_bandwidth=830
stats: component=ResourceConsumption, ts=59192.196, cpu=14.3, cpu_max=14.3, mem=915529728, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59192.308, cpu=14.3, cpu_max=25.0, mem=915529728, recv_bandwidth=1653, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59192.419, cpu=113.6, cpu_max=37.5, mem=915533824, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59192.530, cpu=37.5, cpu_max=40.0, mem=915144704, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59192.642, cpu=0.0, cpu_max=0.0, mem=915144704, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59192.753, cpu=14.2, cpu_max=14.3, mem=915148800, recv_bandwidth=16859, sent_bandwidth=4707
