stats: component=ResourceConsumption, ts=84274.232, cpu=0.0, cpu_max=0.0, mem=121081856, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84274.337, cpu=50.4, cpu_max=50.0, mem=158760960, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84274.442, cpu=0.0, cpu_max=25.0, mem=163373056, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84274.546, cpu=0.0, cpu_max=0.0, mem=163373056, recv_bandwidth=4284, sent_bandwidth=886
stats: component=ResourceConsumption, ts=84274.650, cpu=0.0, cpu_max=0.0, mem=163373056, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84274.755, cpu=66.5, cpu_max=50.0, mem=177352704, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84274.859, cpu=42.6, cpu_max=28.6, mem=226725888, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84274.963, cpu=57.3, cpu_max=37.5, mem=231890944, recv_bandwidth=575, sent_bandwidth=403
stats: component=ResourceConsumption, ts=84275.068, cpu=66.5, cpu_max=33.3, mem=344346624, recv_bandwidth=2444, sent_bandwidth=2329
stats: component=ResourceConsumption, ts=84275.173, cpu=28.7, cpu_max=28.6, mem=393265152, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84275.277, cpu=0.0, cpu_max=0.0, mem=393281536, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84275.382, cpu=0.0, cpu_max=0.0, mem=393318400, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84275.486, cpu=0.0, cpu_max=0.0, mem=393367552, recv_bandwidth=0, sent_bandwidth=528
stats: component=ResourceConsumption, ts=84275.591, cpu=0.0, cpu_max=0.0, mem=393502720, recv_bandwidth=636, sent_bandwidth=886
stats: component=ResourceConsumption, ts=84275.695, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84275.799, cpu=14.3, cpu_max=14.3, mem=393519104, recv_bandwidth=2207, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84275.903, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.008, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=6330, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.112, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.217, cpu=0.0, cpu_max=25.0, mem=393519104, recv_bandwidth=739, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.322, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.426, cpu=0.0, cpu_max=14.3, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.531, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=881
stats: component=ResourceConsumption, ts=84276.635, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.739, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=7437
stats: component=ResourceConsumption, ts=84276.843, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84276.947, cpu=0.0, cpu_max=0.0, mem=393519104, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84277.051, cpu=0.0, cpu_max=0.0, mem=393539584, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84277.155, cpu=28.7, cpu_max=28.6, mem=421138432, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84277.260, cpu=99.4, cpu_max=87.5, mem=764182528, recv_bandwidth=0, sent_bandwidth=625
stats: component=ResourceConsumption, ts=84277.365, cpu=16.6, cpu_max=16.7, mem=1006755840, recv_bandwidth=53673, sent_bandwidth=16797
stats: component=ResourceConsumption, ts=84277.469, cpu=0.0, cpu_max=0.0, mem=1006755840, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84277.573, cpu=0.0, cpu_max=0.0, mem=1006755840, recv_bandwidth=8057, sent_bandwidth=1395
stats: component=ResourceConsumption, ts=84277.677, cpu=0.0, cpu_max=0.0, mem=1006755840, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84277.781, cpu=0.0, cpu_max=0.0, mem=1006759936, recv_bandwidth=0, sent_bandwidth=777
stats: component=ResourceConsumption, ts=84277.886, cpu=56.8, cpu_max=57.1, mem=1018163200, recv_bandwidth=58157, sent_bandwidth=31916
stats: component=ResourceConsumption, ts=84277.991, cpu=66.5, cpu_max=50.0, mem=1122037760, recv_bandwidth=49206, sent_bandwidth=13424
stats: component=ResourceConsumption, ts=84278.095, cpu=57.3, cpu_max=42.9, mem=1127682048, recv_bandwidth=8546, sent_bandwidth=3077
stats: component=ResourceConsumption, ts=84278.200, cpu=28.7, cpu_max=14.3, mem=1135169536, recv_bandwidth=2695, sent_bandwidth=3956
stats: component=ResourceConsumption, ts=84278.304, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=7018, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84278.409, cpu=0.0, cpu_max=14.3, mem=1135714304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84278.513, cpu=0.0, cpu_max=25.0, mem=1135714304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84278.618, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=0, sent_bandwidth=884
stats: component=ResourceConsumption, ts=84278.722, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=1063, sent_bandwidth=1565
stats: component=ResourceConsumption, ts=84278.826, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84278.931, cpu=0.0, cpu_max=16.7, mem=1135714304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84279.035, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=6386, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84279.140, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84279.244, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=731, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84279.349, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=579, sent_bandwidth=820
stats: component=ResourceConsumption, ts=84279.453, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=1389, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84279.557, cpu=0.0, cpu_max=0.0, mem=1135714304, recv_bandwidth=2193, sent_bandwidth=1392
stats: component=ResourceConsumption, ts=84279.661, cpu=16.8, cpu_max=16.7, mem=1135845376, recv_bandwidth=1985, sent_bandwidth=1812
stats: component=ResourceConsumption, ts=84279.766, cpu=0.0, cpu_max=0.0, mem=1135845376, recv_bandwidth=575, sent_bandwidth=1437
stats: component=ResourceConsumption, ts=84279.870, cpu=0.0, cpu_max=0.0, mem=1135845376, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84279.974, cpu=16.6, cpu_max=16.7, mem=1135845376, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84280.078, cpu=0.0, cpu_max=0.0, mem=1135845376, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84280.183, cpu=0.0, cpu_max=0.0, mem=1135845376, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=84280.287, cpu=0.0, cpu_max=0.0, mem=1133985792, recv_bandwidth=0, sent_bandwidth=0
